number,value,state,latent_dim,n_conv_blocks,filters_base,kernel_size,learning_rate,n_clusters,umap_n_neighbors,umap_n_components,umap_min_dist,best_val_loss,cluster_counts,davies_bouldin,epochs_run,objective_composite,silhouette,trial_seed,umap_seed
33,0.5926051976078145,TrialState.COMPLETE,64,1,16,3,0.0003172073593439401,6,5,2,0.0,1.293189287185669,"{'0': 31, '1': 21, '2': 16, '3': 18, '4': 20, '5': 15}",0.8868155933325133,20,0.5926051976078145,0.2388775646686554,1075,42
34,0.8490280269447525,TrialState.COMPLETE,64,2,16,3,0.00015279285688818902,3,5,2,0.05,1.4074636697769165,"{'0': 89, '1': 21, '2': 12}",0.2488645833862709,20,0.8490280269447525,0.7394566535949707,1076,42
35,0.6740994399579625,TrialState.COMPLETE,64,2,16,3,0.00015624083738750096,6,5,2,0.05,1.4219103455543518,"{'0': 25, '1': 17, '2': 27, '3': 20, '4': 23, '5': 9}",0.6781345835208968,20,0.6740994399579625,0.41522717475891113,1077,42
36,0.6174018966313308,TrialState.COMPLETE,64,2,32,3,0.00016571053402758584,3,5,2,0.05,1.376250445842743,"{'0': 51, '1': 47, '2': 23}",1.0184986932960889,20,0.6174018966313308,0.33936166763305664,1078,42
37,-999.0,TrialState.COMPLETE,64,2,32,3,0.00012165502016849212,3,5,2,0.05,1.3824745416641235,"{'0': 41, '1': 66, '2': 16}",,20,-999.0,,1079,42
38,0.688847762968172,TrialState.COMPLETE,64,2,16,3,0.0001563450979197457,3,5,2,0.05,1.416991114616394,"{'0': 36, '1': 53, '2': 32}",0.6455569888537185,20,0.688847762968172,0.44725334644317627,1080,42
39,-999.0,TrialState.COMPLETE,64,2,16,3,0.0002276261212461287,3,5,2,0.0,1.383323311805725,"{'0': 55, '1': 60, '2': 7}",,20,-999.0,,1081,42
40,0.5595213582476783,TrialState.COMPLETE,64,3,16,3,0.0010137071576079026,3,10,3,0.05,1.0957236886024475,"{'0': 38, '1': 29, '2': 54}",1.5381515049697636,20,0.5595213582476783,0.2609288692474365,1082,42
41,0.5837616095063399,TrialState.COMPLETE,64,3,16,7,0.0004668100944581622,2,10,3,0.0,0.9705421626567841,"{'0': 59, '1': 62}",1.273220951969303,20,0.5837616095063399,0.2908293604850769,1083,42
42,0.5661229015949438,TrialState.COMPLETE,128,3,16,7,0.0004202526099673308,2,10,3,0.0,1.1775112748146057,"{'0': 81, '1': 40}",1.2850476191236277,20,0.5661229015949438,0.24238459765911102,1084,42
43,0.6142878143396099,TrialState.COMPLETE,128,3,16,7,0.00037704079543649985,2,10,3,0.0,1.1850820183753967,"{'0': 85, '1': 36}",0.9593949063454377,20,0.6142878143396099,0.31765520572662354,1085,42
44,0.5511814133390598,TrialState.COMPLETE,64,2,32,7,0.00045387881680305754,2,5,2,0.05,0.9486258327960968,"{'0': 61, '1': 62}",1.5135417819855925,20,0.5511814133390598,0.23379404842853546,1086,42
45,0.7350510850616183,TrialState.COMPLETE,64,2,32,3,0.00011809034827745258,5,5,2,0.05,1.3851033449172974,"{'0': 19, '1': 38, '2': 19, '3': 16, '4': 30}",0.5420610533163869,20,0.7350510850616183,0.5443035960197449,1087,42
46,0.4167443567382937,TrialState.COMPLETE,64,2,32,3,0.00011884609833664107,5,30,5,0.3,1.423879325389862,"{'0': 21, '1': 27, '2': 37, '3': 20, '4': 16}",1.3405844737821935,20,0.4167443567382937,-0.1755107343196869,1088,42
47,-999.0,TrialState.COMPLETE,64,2,32,3,0.00012737508571797308,5,30,5,0.3,1.3954039216041565,"{'0': 14, '1': 39, '2': 21, '3': 25, '4': 23}",,20,-999.0,,1089,42
48,0.43763709924604793,TrialState.COMPLETE,16,2,32,3,0.00011733294167357363,5,30,5,0.3,1.4185447096824646,"{'0': 29, '1': 34, '2': 24, '3': 17, '4': 19}",2.347848340321239,20,0.43763709924604793,-0.005636270623654127,1090,42
49,-999.0,TrialState.COMPLETE,16,2,32,3,0.0002273747518172392,5,30,5,0.3,1.3926880955696106,"{'0': 21, '1': 28, '2': 17, '3': 23, '4': 32}",,20,-999.0,,1091,42
50,0.6377346953270862,TrialState.COMPLETE,64,1,64,11,0.00029821484185386384,4,5,2,0.1,1.1440449357032776,"{'0': 28, '1': 34, '2': 36, '3': 25}",0.8284593239460049,20,0.6377346953270862,0.3533203899860382,1092,42
51,0.6185248877845017,TrialState.COMPLETE,64,1,64,11,0.00017049244819572823,4,5,2,0.1,1.2253069877624512,"{'0': 30, '1': 48, '2': 36, '3': 7}",0.8991088580661682,20,0.6185248877845017,0.31587445735931396,1093,42
52,0.5528440748842722,TrialState.COMPLETE,64,1,64,11,0.00031826067792355893,4,5,2,0.1,1.1609503626823425,"{'0': 27, '1': 27, '2': 43, '3': 24}",1.0541876102336465,20,0.5528440748842722,0.16228839755058289,1094,42
53,0.5735638592634111,TrialState.COMPLETE,64,1,64,11,0.00017362055897122787,4,5,2,0.1,1.2543625831604004,"{'0': 35, '1': 20, '2': 52, '3': 14}",1.0827199598224604,20,0.5735638592634111,0.22720414400100708,1095,42
54,0.6913945827161957,TrialState.COMPLETE,64,2,32,3,0.00010096472582320734,3,5,2,0.05,1.3449362516403198,"{'0': 52, '1': 51, '2': 19}",0.7645187598274512,20,0.6913945827161957,0.4896472990512848,1096,42
55,0.8116632828859888,TrialState.COMPLETE,64,2,32,3,0.00010340666195526382,3,5,2,0.05,1.4257346987724304,"{'0': 41, '1': 37, '2': 44}",0.3596489626949651,20,0.8116632828859888,0.6886231303215027,1097,42
56,0.6732350704527214,TrialState.COMPLETE,64,2,32,3,0.00010101540264412162,3,5,2,0.05,1.3857251405715942,"{'0': 35, '1': 41, '2': 46}",0.8210572789855067,20,0.6732350704527214,0.4528445899486542,1098,42
57,0.7478593093309318,TrialState.COMPLETE,64,2,32,3,0.0001111796302735203,3,5,2,0.05,1.4001163244247437,"{'0': 56, '1': 35, '2': 30}",0.6091374426161823,20,0.7478593093309318,0.6040686368942261,1099,42
58,-999.0,TrialState.COMPLETE,32,2,32,3,0.00014202273255388046,5,5,2,0.05,1.3697640895843506,"{'0': 29, '1': 24, '2': 42, '3': 7, '4': 20}",,20,-999.0,,1100,42
59,-999.0,TrialState.COMPLETE,32,2,32,3,0.00014862177234967875,5,5,2,0.05,1.3809106945991516,"{'0': 24, '1': 50, '2': 13, '3': 30, '4': 5}",,20,-999.0,,1101,42
60,0.7393084004882203,TrialState.COMPLETE,32,2,32,3,0.000136865331747444,5,5,2,0.05,1.356588363647461,"{'0': 33, '1': 28, '2': 15, '3': 41, '4': 5}",0.503775400344017,20,0.7393084004882203,0.5423157811164856,1102,42
61,0.5854758777072316,TrialState.COMPLETE,32,2,32,3,0.0008953064630597959,5,5,2,0.05,0.9768449068069458,"{'0': 14, '1': 40, '2': 27, '3': 25, '4': 15}",0.9751862252938566,20,0.5854758777072316,0.2388327568769455,1103,42
62,0.6527367856068543,TrialState.COMPLETE,16,2,32,3,0.0010613737854895983,3,5,2,0.05,1.0797730088233948,"{'0': 45, '1': 33, '2': 43}",0.809270284194136,20,0.6527367856068543,0.3912116587162018,1104,42
63,0.6852236379767582,TrialState.COMPLETE,16,2,32,3,0.00021994149651307274,3,5,2,0.05,1.343723475933075,"{'0': 41, '1': 68, '2': 15}",0.6894189353057382,20,0.6852236379767582,0.4504222571849823,1105,42
64,0.694603615337201,TrialState.COMPLETE,32,2,32,3,0.00011402956698425934,5,5,2,0.05,1.4461162686347961,"{'0': 28, '1': 35, '2': 14, '3': 18, '4': 27}",0.5792414017476355,20,0.694603615337201,0.4418256878852844,1106,42
65,-999.0,TrialState.COMPLETE,32,2,32,3,0.0001333823053919029,5,5,2,0.05,1.3597620725631714,"{'0': 10, '1': 31, '2': 33, '3': 18, '4': 30}",,20,-999.0,,1107,42
66,-999.0,TrialState.COMPLETE,32,2,32,3,0.00011194367052769138,5,5,2,0.05,1.4049145579338074,"{'0': 27, '1': 8, '2': 35, '3': 31, '4': 21}",,20,-999.0,,1108,42
67,0.7706700750075631,TrialState.COMPLETE,32,2,32,3,0.00013521487689839335,5,5,2,0.05,1.3708394169807434,"{'0': 32, '1': 20, '2': 19, '3': 20, '4': 31}",0.47838311614772433,20,0.7706700750075631,0.6221305131912231,1109,42
68,-999.0,TrialState.COMPLETE,32,2,32,3,0.00013160878081394265,5,5,2,0.05,1.4283299446105957,"{'0': 37, '1': 24, '2': 26, '3': 14, '4': 20}",,20,-999.0,,1110,42
69,0.7041185904504492,TrialState.COMPLETE,64,2,32,3,0.00011241329150807981,3,5,2,0.05,1.4006853699684143,"{'0': 54, '1': 35, '2': 32}",0.6331249682872634,20,0.7041185904504492,0.486919105052948,1111,42
70,0.7401127639159201,TrialState.COMPLETE,32,2,32,3,0.00013504714693774155,3,15,2,0.05,1.3590219020843506,"{'0': 55, '1': 38, '2': 29}",0.5179276580982446,20,0.7401127639159201,0.5499282479286194,1112,42
